"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","335","100 Everett Avenue, Chelsea","4/1/2019 - 6/30/2019, Every day, Daily Average",892,600,1325
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","337","100 Svenson Avenue, Broadmeadow Brook, Worcester","4/1/2019 - 6/30/2019, Every day, Daily Average",3587,2809,4579
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","339","0 Autumn Lane, Natick","4/1/2019 - 6/30/2019, Every day, Daily Average",2384,1869,3040
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","340","0 Bent Avenue, Cochituate, Wayland","4/1/2019 - 6/30/2019, Every day, Daily Average",1910,1378,2646
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","341","0 Fountain Avenue, East Somerville, Somerville","4/1/2019 - 6/30/2019, Every day, Daily Average",1075,729,1583
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","342","0 Payson Street, Vernon Hill, Worcester","4/1/2019 - 6/30/2019, Every day, Daily Average",3637,2861,4623
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","343","500 Southbridge Street, South Worcester, Worcester","4/1/2019 - 6/30/2019, Every day, Daily Average",3824,2987,4894
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","345","0 West Street, Auburn","4/1/2019 - 6/30/2019, Every day, Daily Average",3660,2847,4704
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","346","0 Meadowbrook Road, Grafton","4/1/2019 - 6/30/2019, Every day, Daily Average",3034,2300,4000
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","347","0 Spruce Street, Shrewsbury","4/1/2019 - 6/30/2019, Every day, Daily Average",3560,2816,4499
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","348","100 Gulf Street, Shrewsbury","4/1/2019 - 6/30/2019, Every day, Daily Average",3925,3081,4999
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","349","0 Smith Parkway, Westborough","4/1/2019 - 6/30/2019, Every day, Daily Average",3308,2569,4259
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","350","0 Morey Way, Milford","4/1/2019 - 6/30/2019, Every day, Daily Average",3177,2426,4159
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","352","200 Prospect Street, South Easton, Easton","4/1/2019 - 6/30/2019, Every day, Daily Average",3113,2420,4004
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","353","100 Burt Street, Norton","4/1/2019 - 6/30/2019, Every day, Daily Average",3678,2786,4855
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","357","500 County Street, Taunton","4/1/2019 - 6/30/2019, Every day, Daily Average",3461,2563,4672
